"Fecha del comentario","Nombre del cliente","Número de reserva","Título del comentario","Comentario positivo","Comentario negativo","Puntuación del comentario","Personal","Limpieza","Ubicación","Instalaciones y servicios","Confort","Relación calidad-precio","Respuesta del alojamiento"
"2024-05-06 21:09:35","fernandez lopez","4899906424","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-05-10 15:55:49","Maria del rocio","4802280354","Excelente ","Lo acogedor que es y el personal tan amable que hay ","Afortunadamente me gustó todo","10","10.0","10.0","10.0","10.0","10.0","10.0","Muchas gracias por tu comentario,nos ayuda a crecer y mejorar. Esperamos volver a verte pronto!"
"2024-05-30 13:37:05","Belén","4806108280","Estancia muy cómoda y agradable","Limpio y muy nuevo todos","","9","7.5","10.0","7.5","7.5","7.5","7.5","Muchas gracias por tu comentario y valoración que nos ayudará a mejorar. ¡Esperamos que vuelvas pronto!"
"2024-06-02 14:13:59","Iaremco","4430410977",""," Це найкращі апартаменти в місті Херес Дуже чисто та просторо.Гарне розташування,привітні господарі.Найвищий рівень,","","10","10.0","10.0","10.0","10.0","10.0","10.0","Щиро дякую за коментар і оцінку.  Ми сподіваємося, що ви скоро повернетесь і гарно проведете подорож."
"2024-06-17 18:55:00","José","4529569931","Un Loft con mucho encanto.","Generalmente todos los Detalles ","Por decir algo!para llegar… el GPS no te ayuda por los cortes que hay en la zona.","10","7.5","10.0","7.5","10.0","10.0","10.0","Muchas gracias por sus comentarios y calificaciones que nos ayudan a mejorar, esperamos volver a verle pronto."
"2024-06-27 18:27:54","Ciuca","4890040283","Volveré ","Muy limpio y todo estupendo Fue la segunda vez y volveré","","10","10.0","10.0","7.5","10.0","10.0","10.0","Te agradecemos mucho tus valoraciones y comentarios, Ramona. Y esperamos vuestra vuelta para seguir ofreciéndoos toda la calidad y servicio que os merecéis, para que disfrutéis una feliz y agradable estancia en Jerez. ¡Muchas gracias!"
"2024-06-30 23:31:30","ENRIQUE","4580296088","","La anfitriona estuvo disponible en todo momento y atendió nuestras peticiones con agilidad. Incluso nos permitió entrar antes del horario establecido. El apartamento estaba muy limpio, era acogedor y no le faltaba detalle. Además,  ibamos a un evento cerca de las grandes bodegas y el apartamento está realmente cerca.","Tiene un tragaluz cercano a las camas que, aunque da mucha claridad durante el día, deja entrar demasiada claridad desde el amanecer y te puede desvelar.","9","10.0","10.0","7.5","10.0","10.0","10.0","Buenas Enrique, (RESUELTO). Gracias por tu comentario y valoración. Respecto a lo del tragaluz estamos buscando como darle una pronta solución. HEMOS INSTALADO UNA PERSIANA QUE SE CIERRA AUTOMÁTICAMENTE PARA EVITAR EL EXCESO DE LUZ.¡Muchas gracias y esperamos volver a veros pronto!"
"2024-07-19 00:49:26","Josemy","4471237525","","","","8","10.0","7.5","10.0","5.0","10.0","10.0",""
"2024-07-19 12:10:40","Salvador","4739901350","Excelente","Básicamente todo, realmente es un apartamento excelente. Para repetir seguro. Tranquilo, amplio y muy limpio.","De forma general no tiene nada que no nos gustase. Solo el tragaluz, pero que tampoco fue un problema o que no nos gustase.","10","10.0","10.0","10.0","10.0","10.0","10.0","Muy buenas Salvador,muchas gracias por tu valoración y comentarios,nos da fuerza para saber que vamos bien y que tenemos la confianza de los clientes que eligen nuestros alojamientos para su estancia en Jerez.Lo del tragaluz estamos buscando la forma de solucionarlo y de hecho lo vamos a solucionar.(SOLUCIONADO) HEMOS INSTALADO UNA PERSIANA AUTOMÁTICA PARA REGULAR LA ENTRADA DE LUZ.Deseamos volver a veros pronto y una vez más muchísimas gracias por vuestra valoración, comentario y la confianza puesta en nosotros."
"2024-07-21 15:54:32","Luis","4815009572"," Excelente!!!! Típico e moderno !","Tudoooooo! Tal como Oásis nos confins do deserto !Lindo, novo , requintado, cuidado, a proprietária Simples e fantástica, prestável... Tudo Maravilhoso!!!","De não ter tempo para desfrutar ","10","10.0","10.0","10.0","10.0","10.0","10.0","Boa tarde Luís,Muito obrigado pelos seus comentários e avaliação.  Esperamos que regresse em breve com mais tempo para desfrutar. Em cada 10 vocês são todos os clientes que optaram por nos confiar a vossa estadia em Jerez, com clientes como este o nosso trabalho é muito fácil. Muito obrigado e boa viagem."
"2024-07-22 00:05:23","Nadia","4412513943","","Bel appartement bien équipé, emplacement pratique pour visiter la ville ancienne, propriétaire sympathique et aidant. Nous avons eu la chance de trouver une place de parking devant le logement. Ceci est possible seulement le week-end. Les autres jours il faut trouver des places ailleurs dans la ville. Le propriétaire est de bon conseil pour cela. ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Bonne Nadia,Merci beaucoup pour votre évaluation et vos commentaires.Nous espérons que vous reviendrez bientôt car vous avez été des gens charmants, très polis et bons."
"2024-07-22 11:40:30","Manuel","4744696779","","La verdad es que nos sorprendimos mi pareja y yo. Nos ha encantado, todo super limpio y muy nuevo. Aparcamiento en la puerta, a un paso del corazón de la ciudad. Muchos detalles que no hay en otros apartamentos. Sin lugar a dudas, será un referente para nosotros, repetiremos. ","Si hay que poner un 'pero', lo único que añadiría es una percha en el Baño para colgar las toallas. Por lo demás, nada que objetar. ","10","7.5","10.0","10.0","10.0","10.0","10.0","Buenas Manuel,nos congratula saber que el apartamento fue de vuestro agrado y disfrutasteis de vuestra estancia en Jerez.Deseamos que vuelvan pronto.Muchas gracias por vuestros comentarios y valoración."
"2024-07-27 23:44:44","Robert Dumitru","4477813852","Estupenda","El confort de la estancia y la atención","Es algo dificil de encontrar usando el gps","8","10.0","10.0","7.5","10.0","10.0","10.0","Buenas Robert, muchas gracias por vuestro comentario y valoración.Lamentamos que unas obras en las proximidades hagan que el tramo final vuelva loco a Google Maps, hemos informado a Google de esta incidencia.Deseamos que vuelvan pronto!"
"2024-07-29 07:22:35","MARIANGELES","4370426039","","","","10","10.0","10.0","5.0","10.0","10.0","10.0",""
"2024-07-29 17:39:42","Barbara","4777904510","","","","8","10.0","10.0","7.5","10.0","10.0","10.0",""
"2024-07-31 00:08:35","José Roque","4520075043","Agradable","La comodidad de la habitación y la atención agradable y servicial en todo momento.","","9","10.0","10.0","10.0","10.0","10.0","10.0","Buenas José,gracias por su valoración y comentario.Esperamos que vuelvan pronto."
"2024-07-31 11:40:47","Sergio","4684206466","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-08-06 03:59:39","Maria Esther","4407490883","","Todo excelente. No faltaba un detalle. Super limpio. Impresionante ","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenos días María Esther,Gracias por tu valoración y comentario.Trabajamos duro para que nuestros alojamientos sean mucho más de lo que se espera.Esperamos vuelvan pronto." 
"2024-08-09 14:01:07","Rivera","4591963754","","Muy completo, limpio y todo super nuevo. A parte, el buen trato y los detalles que tuvieron con nosotros.","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Marta,Gracias por tus comentarios y valoración, vuestra satisfacción es nuestro orgullo.Esperamos que volváis pronto y mil gracias por todo."
"2024-08-11 19:01:00","Elena","4973817128","","","","8","7.5","10.0","10.0","7.5","10.0","10.0",""
"2024-08-11 19:51:27","Iluminada","4415319580","Insuperable!!!… volveré ","Todo muy limpio, muy nuevo y muy cuidado, inmejorable ","Nada","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas tardes Iluminada,muchas gracias por tu valoración y comentarios esperamos que vuelvas pronto."
"2024-08-14 23:49:34","Davide","4949907196","","","","9","10.0","10.0","10.0","7.5","10.0","7.5",""
"2024-08-15 21:40:54","Jose Antonio","4411432620","Bonito, equipado y bien situado","Apartamento moderno, decorado con estilo, cómodo, bien situado y equipado.","Por decir algo, el lavabo es muy pequeño y se salpica fuera el agua.","9","7.5","10.0","7.5","10.0","7.5","7.5","Buenas José Antonio,Agradecemos mucho sus comentarios y valoraciones,nos ayudan a mejorar y seguir avanzando.Esperamos que disfrutaran de su estancia y que vuelvan pronto."
"2024-08-16 18:35:09","Inmaculada","4476918271","","No falto ningun detalle cosa que en otros apartamentos mas caro no tienen esos detalles,sin duda espero volver","Todo perfecto ,rutas por el casco antiguo aunque algunas calles eran un laberinto ","10","10.0","10.0","7.5","10.0","10.0","10.0","Buenas Inmaculada,sin duda estamos deseando volver a veros por aquí.Os agradecemos vuestros comentarios y valoraciones."
"2024-08-17 11:52:06","teresa","4479161669","","Limpio, ordenado, muy buena nitoy bien comunicado. El personal muy amable. ","Faltan perchas en la ducha para las toallas por decir algo. ","8","7.5","10.0","10.0","7.5","10.0","7.5","Buenas Teresa,agradecemos tus valoraciones y comentarios.Trabajaremos duro para mejorar los aspectos dónde has considerado que podemos mejorar."
"2024-08-19 01:10:52","Oleksii","4684678975","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-08-19 19:19:38","David","4825230142","Apartamento de 10 para una pareja","Un apartamento enorme con todo lo necesario, bien reformado, útil y práctico. Nos encantó sobre todo lo cerca que estaba de todo el barrio céntrico de la ciudad y de la catedral. Muy recomendable.","","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas David,muchas gracias por vuestro comentario y valoraciones.Esperamos que volváis pronto, estaremos encantados de atenderos."
"2024-08-24 02:02:28","Carlos","4306463582","","Tudo","Nada","9","10.0","10.0","7.5","10.0","10.0","10.0","Buenas Carlos,Muchas gracias por vuestras valoraciones y comentarios.Esperamos volver a veros pronto."
"2024-08-25 01:14:36","Manuel","4877988526","","","Como ya comentamos en otra reseña anterior de otra reserva, seguimos echando en falta en el baño unas oerchas","8","5.0","10.0","10.0","7.5","10.0","10.0","Buenas Manuel,Gracias por tu valoración y comentarios.La percha de los baños es la especie de escalera de bambú que hay, dónde están puestas las toallas.Luego no entiendo el 5 al personal,estamos aquí para lo que necesitéis, siempre que nos lo haga saber.Esperamos que volváis pronto.Muchas gracias."
"2024-09-03 15:26:26","Inês","4600527835","","","","10","10.0","10.0","10.0","10.0","10.0","10.0",""
"2024-09-14 17:39:02","LUIS","4442904921","","El lugar está relativamente cerca del centro Se puede aparcar cerca sin coste","","8","0.0","7.5","5.0","7.5","7.5","5.0","Agradecemos su comentario y valoraciones "
"2024-09-15 21:01:39","Ãngel","4334335995","","","","10","7.5","10.0","7.5","10.0","7.5","10.0",""
"2024-09-15 23:26:14","Rosanna Ivonne","4329853943","Un apartamento tipo estudio genial y muy bien equipado.","El alojamiento está estupendo! Muy acogedor y limpio. Está muy bien equipado con todo lo necesario. El personal súper atento y responden rápidamente a las dudas que puedas tener. Nos han dejado una bonita bienvenida. Estaremos encantados de volver!","","10","10.0","10.0","10.0","10.0","10.0","10.0","Muchas gracias Rosanna por tus comentarios y valoraciones.Estaremos encantados de volver a atenderos y proporcionaros todo lo que necesitéis empezando por una hogareña estancia."
"2024-09-23 08:10:19","Francis Villegas","4602071599","Tranquila y con buenos ascenso para salir de Jerez visitar la zona","Todo bien en general , el apartamento estaba muy limpio y la señora amable, siempre pendiente si nos faltaba algo","El apartamento perfecto, nos gustó todo","10","10.0","10.0","10.0","10.0","10.0","10.0","Buenas Francisco Javier,Muchas gracias por vuestros comentarios y valoraciones.Estaremos encantados de volver a veros y daros las instalaciones y servicios que merecéis."
